Month,Mean_tem,Max_tem,Min_tem,Rain
January,25,30,20,0.0 mm
February,26,31,21,0.0 mm
March,27,32,22,0.1 mm
April,28,33,25,0.1 mm
May,29,32,26,1.9 mm
June ,26,29,25,25.5 mm
July ,25,27,24,32.6 mm
august,25,27,24,23.7 mm
September,26,28,24,13.0 mm
October ,27,39,24,4.7 mm
November,27,31,23,0.7 mm
December,26,31,21,0.2 mm
