Month,Mean_tem,Max_tem,Min_tem,Rain
 January,14,21,8,0.7 mm 
 February,17,24,11,1.1 mm 
 March,23,30,15,0.6 mm 
 April,30,38,22,0.3 mm 
 May,33,40,26,1.1 mm 
 June,34,39,29,1.0 mm 
 July,30,34,27,8.6 mm 
 August,28,31,26,8.1 mm 
 September,28,33,25,4.6 mm 
 October,26,33,19,0.0 mm 
 November,22,29,15,0.0 mm 
 December,16,23,9,0.4 mm 
