Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,23,10,0.6 mm
February,20,27,13,0.7 mm
March,26,33,18,0.4 mm
April,32,39,23,0.2 mm
May,35,42,28,0.3 mm
June,33,38,28,5.2 mm
July,28,32,26,12.9 mm
August,27,31,25,11.3 mm
September,27,31,24,6.5 mm
October,26,32,20,1.1 mm
November,22,29,16,0.3 mm
December,18,24,11,0.4 mm
