Month,Mean_tem,Max_tem,Min_tem,Rain
January,19,26,12,0.1 mm
February,22,29,15,0.1 mm
March,26,34,19,0.1 mm
April,31,38,23,0.1 mm
May,32,39,26,0.2 mm
June,30,35,25,4.8 mm
July,26,28,23,13.5 mm
August,25,27,23,11.7 mm
September,25,29,22,5.7 mm
October,26,32,20,0.8 mm
November,23,30,17,0.2 mm
December,20,27,14,0.3 mm
