Month,Mean_tem,Max_tem,Min_tem,Rain
January,15,22,9,0.6 mm
February,19,26,12,0.6 mm
March,25,32,17,0.4 mm
April,31,38,23,0.3 mm
May,34,41,27,0.3 mm
June,34,39,29,2.9 mm
July,29,33,26,10.3 mm
August,28,31,25,9.5 mm
September,28,32,24,4.4 mm
October,26,33,20,0.9 mm
November,22,28,16,0.3 mm
December,17,23,11,0.5 mm
