Month,Mean_tem,Max_tem,Min_tem,Rain
January,18,25,11,0.3 mm
February,21,28,14,0.5 mm
March,26,33,19,0.4 mm
April,31,38,24,0.2 mm
May,34,40,28,0.4 mm
June,31,35,26,5.4 mm
July,26,29,24,14.9 mm
August,25,28,23,12.8 mm
September,26,29,22,5.7 mm
October,25,31,20,0.9 mm
November,22,29,16,0.5 mm
December,19,26,12,0.4 mm
