Month,Mean_tem,Max_tem,Min_tem,Rain
January,15,21,8,0.2 mm
February,19,26,11,0.4 mm
March,25,32,17,0.2 mm
April,31,38,22,0.2 mm
May,35,41,27,0.5 mm
June,35,40,29,1.1 mm
July,32,37,28,2.6 mm
August,31,35,27,2.4 mm
September,31,36,26,0.9 mm
October,29,35,22,0.3 mm
November,23,29,16,0.1 mm
December,17,23,10,0.1 mm
