Month,Mean_tem,Max_tem,Min_tem,Rain
January,12,18,6,1.5 mm
February,14,21,8,2.6 mm
March,20,27,13,2.4 mm
April,27,34,18,1.3 mm
May,32,39,24,0.9 mm
June,33,38,26,3.2 mm
July,30,34,26,7.9 mm
August,29,33,25,6.7 mm
September,28,33,23,2.6 mm
October,25,31,18,0.6 mm
November,19,26,13,0.5 mm
December,14,20,8,0.7 mm
