Month,Mean_tem,Max_tem,Min_tem,Rain
January,13,20,7,0.6 mm
February,16,23,10,1 mm
March,22,29,15,0.7 mm
April,29,36,21,0.6 mm
May,33,40,26,0.7 mm
June,34,40,28,1.8 mm
July,32,37,28,4 mm
August,32,36,28,3.7 mm
September,30,35,25,2.2 mm
October,27,33,20,0.4 mm
November,21,28,14,0.2 mm
December,15,22,9,0.3 mm
