Month,Mean_tem,Max_tem,Min_tem,Rain
January,12,18,7,1.7 mm
February,16,22,10,2.3 mm
March,21,28,14,1.8 mm
April,28,36,20,1.1 mm
May,32,39,24,1.3 mm
June,32,38,26,3.7 mm
July,30,34,26,9.4 mm
August,28,32,25,9 mm
September,27,32,23,4.6 mm
October,24,31,18,0.9 mm
November,20,27,13,0.2 mm
December,14,21,8,0.7 mm
