Month,Mean_tem,Max_tem,Min_tem,Rain
January,-7,-3,-10,5.2 mm
February,-5,-2,-8,7.6 mm
March,-1,3,-5,7.8 mm
April,4,8,-1,7 mm
May,8,13,3,5.2 mm
June,12,16,7,4.4 mm
July,14,18,10,9.3 mm
August,13,17,9,8.7 mm
September,10,15,6,3.9 mm
October,5,10,1,2.2 mm
November,0,6,-4,2.4 mm
December,-4,1,-8,3.3 mm
