Month,Mean_tem,Max_tem,Min_tem,Rain
January,8,15,2,5.4 mm
February,11,17,4,7.8 mm
March,15,22,8,6.5 mm
April,21,28,13,5.2 mm
May,26,33,18,2.6 mm
June,28,33,21,5.6 mm
July,26,29,22,15.4 mm
August,25,28,22,12.1 mm
September,23,28,18,4.7 mm
October,20,26,13,1.2 mm
November,15,21,8,1.6 mm
December,10,17,4,3.1 mm
