Month,Mean_tem,Max_tem,Min_tem,Rain
January,-3,2,-6,4.8 mm
February,-1,3,-4,7.8 mm
March,4,8,0,8.1 mm
April,10,16,4,6.7 mm
May,15,21,8,3.9 mm
June,18,23,12,3.6 mm
July,19,23,15,8.3 mm
August,18,22,14,8 mm
September,16,21,11,3.3 mm
October,12,18,6,1.8 mm
November,6,12,1,2 mm
December,1,6,-4,3 mm
