Month,Mean_tem,Max_tem,Min_tem,Rain
January,15,22,9,0.4 mm
February,18,25,11,0.9 mm
March,22,29,15,2.3 mm
April,24,30,19,3.5 mm
May,25,30,21,9.4 mm
June,24,28,22,12.1 mm
July,24,27,22,12.6 mm
August,24,28,22,12.4 mm
September,24,27,21,10.7 mm
October,22,27,19,6.3 mm
November,19,25,14,1.7 mm
December,16,23,10,0.6 mm
