Month,Mean_tem,Max_tem,Min_tem,Rain
January,13,19,8,0.4 mm
February,15,22,9,0.6 mm
March,19,26,12,1.3 mm
April,22,28,16,2.3 mm
May,22,27,18,8.0 mm
June,22,26,20,12.2 mm
July,22,25,20,13.5 mm
August,22,25,20,11.5 mm
September,21,25,19,8.7 mm
October,20,24,17,6.0 mm
November,26,21,12,1.6 mm
December,14,19,9,0.7 mm
