Month,Mean_tem,Max_tem,Min_tem,Rain
January,-1,4,-6,4.4 mm
February,1,6,-3,6.9 mm
March,6,11,1,7.2 mm
April,12,18,5,5.2 mm
May,18,24,10,3.5 mm
June,21,26,14,3.8 mm
July,22,27,16,7.2 mm
August,21,26,16,6.2 mm
September,19,25,12,2.8 mm
October,14,20,7,1.7 mm
November,8,14,1,1.9 mm
December,1,8,-5,2.8 mm
