Month,Mean_tem,Max_tem,Min_tem,Rain
January,10,17,4,2.9 mm
February,13,20,6,5.1 mm
March,18,25,10,4.4 mm
April,24,32,16,2.8 mm
May,29,36,20,1.1 mm
June,31,37,24,4.3 mm
July,28,32,24,12.6 mm
August,27,31,24,10.4 mm
September,26,30,21,4.5 mm
October,22,29,15,0.7 mm
November,16,24,10,1 mm
December,12,19,5,1.8 mm
