Month,Mean_tem,Max_tem,Min_tem,Rain
January,23,29,17,0.4 mm
February,26,32,20,0.2 mm
March,30,36,23,0.6 mm
April,33,39,26,0.6 mm
May,34,40,29,1 mm
June,30,35,27,6.3 mm
July,27,30,25,9.8 mm
August,27,30,24,9.5 mm
September,27,30,24,6.4 mm
October,26,30,22,3.2 mm
November,24,29,19,0.6 mm
December,23,28,17,0.2 mm
