Month,Mean_tem,Max_tem,Min_tem,Rain
January,18,24,12,0.4 mm
February,22,28,16,0.9 mm
March,27,33,20,1.1 mm
April,30,36,25,2.1 mm
May,30,36,26,5.6 mm
June,30,34,27,10.7 mm
July,28,31,26,12.2 mm
August,28,31,26,10.6 mm
September,27,31,25,9.1 mm
October,26,30,23,4.3 mm
November,23,28,18,0.7 mm
December,19,25,14,0.5 mm
