Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,22,11,0.9 mm
February,19,24,13,0.9 mm
March,23,29,16,1.3 mm
April,25,31,20,3 mm
May,26,30,22,9.8 mm
June,26,30,24,24.7 mm
July,26,29,25,33.2 mm
August,27,30,25,23.2 mm
September,26,29,24,15.9 mm
October,24,28,20,4.8 mm
November,21,26,15,0.4 mm
December,18,23,12,0.4 mm
