Month,Mean_tem,Max_tem,Min_tem,Rain
January,10,15,6,1.5 mm
February,12,17,8,3.1 mm
March,15,20,10,5.7 mm
April,18,22,13,8.9 mm
May,19,23,16,15.3 mm
June,21,24,19,24.5 mm
July,21,23,19,33.6 mm
August,21,24,19,22 mm
September,20,23,18,16.1 mm
October,18,22,14,6.8 mm
November,14,19,11,1.5 mm
December,12,16,8,0.9 mm
