Month,Mean_tem,Max_tem,Min_tem,Rain
January,7,13,0,2.5 mm
February,8,15,2,3.8 mm
March,13,19,5,2.7 mm
April,17,24,10,2.4 mm
May,20,26,14,2.7 mm
June,22,26,17,7.7 mm
July,21,24,18,20.2 mm
August,20,24,18,18.3 mm
September,19,23,15,8.9 mm
October,16,21,10,1.2 mm
November,12,18,6,0.4 mm
December,8,15,2,1.1 mm
