Month,Mean_tem,Max_tem,Min_tem,Rain
January,9,15,2,4.3 mm
February,11,17,4,6.7 mm
March,16,23,8,5.2 mm
April,21,28,14,3.6 mm
May,26,33,19,1.5 mm
June,28,33,21,4.6 mm
July,26,29,22,15.0 mm
August,25,28,22,12.2 mm
September,24,28,18,4.1 mm
October,20,26,14,0.7 mm
November,15,22,8,1.2 mm
December,11,18,4,2.5 mm 
