Month,Mean_tem,Max_tem,Min_tem,Rain
 January,15,21,10,0.8 mm 
 February,16,22,11,0.8 mm 
 March,17,22,13,1.7 mm 
 April,18,24,14,4.0 mm 
 May,18,23,15,5.0 mm 
 June,17,20,15,6.0 mm 
 July,16,20,14,7.1 mm 
 August,16,20,14,6.4 mm 
 September,16,20,14,5.0 mm 
 October,16,20,14,6.9 mm 
 November,16,20,12,5.7 mm 
 December,15,20,12,1.7 mm 
