Month,Mean_tem,Max_tem,Min_tem,Rain
January,26,26,25,2.7 mm
February,26,27,26,1.3 mm
March,28,28,27,1.3 mm
April,29,30,28,2.8 mm
May,29,30,28,2.2 mm
June,29,29,28,0.5 mm
July,28,29,28,0.3 mm
August,28,29,27,0.7 mm
September,28,28,27,1.6 mm
October,27,28,27,8.8 mm
November,27,27,26,13.8 mm
December,26,27,25,7.6 mm
