Month,Mean_tem,Max_tem,Min_tem,Rain
January,22,27,18,0.7 mm
February,24,29,19,0.7 mm
March,26,32,21,0.8 mm
April,27,32,22,1.5 mm
May,26,31,22,2.8 mm
June,25,29,22,3.0 mm
July,24,28,21,2.8 mm
August,24,28,21,3.0 mm
September,24,29,20,3.5 mm
October,23,27,20,6.7 mm
November,22,26,19,7.7 mm
December,21,25,18,3.5 mm
