Month,Mean_tem,Max_tem,Min_tem,Rain
January,22,28,17,0.5 mm
February,24,31,18,0.3 mm
March,27,34,21,0.4 mm
April,30,36,24,0.7 mm
May,31,37,26,1.9 mm
June,30,35,26,3.5 mm
July,29,33,25,3.6 mm
August,28,32,25,4.1 mm
September,27,32,24,4.4 mm
October,26,30,22,6.9 mm
November,24,28,20,6.1 mm
December,22,27,18,2.8 mm
