Month,Mean_tem,Max_tem,Min_tem,Rain
January,25,32,18,0.2 mm
February,27,34,20,0.1 mm
March,31,38,23,0.2 mm
April,33,40,26,0.4 mm
May,34,40,28,1.5 mm
June,30,35,26,4 mm
July,28,32,25,4.6 mm
August,28,31,24,5.1 mm
September,27,31,24,4.8 mm
October,27,32,23,4.6 mm
November,26,31,21,1.4 mm
December,24,30,19,0.5 mm
