Month,Mean_tem,Max_tem,Min_tem,Rain
January,23,27,19,0.4 mm
February,25,29,21,0.5 mm
March,27,32,24,0.4 mm
April,29,34,26,0.4 mm
May,31,35,28,2.0 mm
June,30,33,27,4.9 mm
July,28,31,26,7.4 mm
August,28,30,26,8.1 mm
September,28,30,26,7.2 mm
October,27,30,24,6.4 mm
November,25,28,22,3.4 mm
December,23,27,20,1.1 mm
,,,, 
