Month,Mean_tem,Max_tem,Min_tem,Rain
January,13,19,6,1.3 mm
February,16,23,9,2 mm
March,21,28,13,1.4 mm
April,27,34,19,1.1 mm
May,30,36,22,2.5 mm
June,30,34,24,9.6 mm
July,27,30,24,21.9 mm
August,26,30,24,19.7 mm
September,25,29,22,9.7 mm
October,22,28,17,1.7 mm
November,18,25,12,0.2 mm
December,14,21,8,0.6 mm
