Month,Mean_tem,Max_tem,Min_tem,Rain
January,-11,-7,-14,5.1 mm
February,-10,-6,-13,6.6 mm
March,-6,-3,-11,5.6 mm
April,-3,1,-8,3.7 mm
May,1,5,-4,2.2 mm
June,5,9,1,3.8 mm
July,8,11,5,9.1 mm
August,8,11,6,8.5 mm
September,5,8,2,5.1 mm
October,0,4,-5,1.7 mm
November,-4,0,-8,1.4 mm
December,-8,-4,-12,2.5 mm
