Month,Mean_tem,Max_tem,Min_tem,Rain
January,9,15,4,2.2 mm
February,11,16,5,3.6 mm
March,14,20,8,3.6 mm
April,19,25,12,4.1 mm
May,21,27,16,7.9 mm
June,22,27,18,23 mm
July,22,25,19,31.4 mm
August,21,25,19,24.9 mm
September,20,24,17,14.8 mm
October,17,22,12,3.1 mm
November,14,20,9,0.6 mm
December,11,17,6,1.1 mm
