Month,Mean_tem,Max_tem,Min_tem,Rain
January,-14,-10,-20,4.2 mm
February,-13,-9,-18,5.4 mm
March,-11,-6,-17,4.8 mm
April,-7,-2,-13,3.5 mm
May,-3,2,-8,2.4 mm
June,2,7,-3,3.4 mm
July,7,11,3,7.3 mm
August,7,10,3,6.9 mm
September,3,7,-2,4.3 mm
October,-3,3,-10,1.1 mm
November,-7,-1,-14,0.9 mm
December,-12,-6,-18,1.9 mm
