Month,Mean_tem,Max_tem,Min_tem,Rain
January,24,30,18,0.3 mm
February,26,32,20,0.3 mm
March,29,36,23,0.3 mm
April,32,38,26,0.5 mm
May,34,40,28,2 mm
June,31,35,27,5.9 mm
July,28,32,26,9.1 mm
August,28,31,25,8.9 mm
September,27,31,24,7.4 mm
October,27,31,23,4.5 mm
November,25,30,21,1.3 mm
December,24,29,18,0.4 mm
