Month,Mean_tem,Max_tem,Min_tem,Rain
 January,9,15,4,2.2 mm 
 February,11,17,5,2.6 mm 
 March,15,21,9,2.1 mm 
 April,22,29,15,1.7 mm 
 May,25,31,18,0.9 mm 
 June,26,31,21,3.0 mm 
 July,24,27,21,8.2 mm 
 August,23,26,21,9.8 mm 
 September,22,26,19,3.0 mm 
 October,19,25,13,0.8 mm 
 November,15,21,10,0.3 mm 
 December,10,17,5,0.7 mm 
