Month,Mean_tem,Max_tem,Min_tem,Rain
 January,-8,-3,-12,5.8 mm 
 February,-6,-2,-10,8.7 mm 
 March,-4,2,-10,6.5 mm 
 April,1,7,-6,4.8 mm 
 May,5,11,-3,3.3 mm 
 June,9,14,2,4.8 mm 
 July,12,16,8,6.6 mm 
 August,12,16,9,7.3 mm 
 September,9,14,4,2.6 mm 
 October,3,10,-6,1.5 mm 
 November,-2,4,-9,1.8 mm 
 December,-7,0,-13,3.0 mm 
