Month,Mean_tem,Max_tem,Min_tem,Rain
January,24,31,18,0.1 mm
February,25,33,18,0 mm
March,26,35,20,0.4 mm
April,27,35,22,1.2 mm
May,26,32,23,3.1 mm
June,24,27,22,16.5 mm
July,23,25,21,22.6 mm
August,23,25,21,15.3 mm
September,23,27,21,8.1 mm
October,24,29,21,5.6 mm
November,24,30,20,1.3 mm
December,24,30,18,0.3 mm
