Month,Mean_tem,Max_tem,Min_tem,Rain
January,21,27,14,0.3 mm
February,22,29,16,0.4 mm
March,24,31,18,0.9 mm
April,25,31,20,2.8 mm
May,24,29,20,5.5 mm
June,21,24,20,10.2 mm
July,20,23,19,12.6 mm
August,20,23,19,9.6 mm
September,21,25,19,6.5 mm
October,21,25,18,7.6 mm
November,20,25,16,2.9 mm
December,20,26,14,0.7 mm
