Month,Mean_tem,Max_tem,Min_tem,Rain
January,22,29,16,0.4 mm
February,23,30,16,0.5 mm
March,24,31,18,2 mm
April,24,29,20,6.6 mm
May,23,27,20,7.8 mm
June,21,24,20,19.9 mm
July,20,23,19,24.9 mm
August,20,24,19,17.8 mm
September,21,25,19,9.7 mm
October,21,26,18,10.2 mm
November,21,27,17,3.7 mm
December,21,28,16,0.9 mm
