Month,Mean_tem,Max_tem,Min_tem,Rain
 January,14,20,8,1.3 mm 
 February,16,22,10,2.3 mm 
 March,21,28,14,0.6 mm 
 April,29,37,21,0.6 mm 
 May,33,39,25,0.5 mm 
 June,33,38,28,1.7 mm 
 July,30,34,27,7.0 mm 
 August,28,31,26,8.1 mm 
 September,28,32,24,3.1 mm 
 October,26,32,19,0.0 mm 
 November,21,28,15,0.1 mm 
 December,15,22,9,0.6 mm 
