Month,Mean_tem,Max_tem,Min_tem,Rain
January,23,30,17,0 mm
February,24,31,18,0 mm
March,27,34,20,0 mm
April,29,36,23,0 mm
May,30,35,26,0.4 mm
June,28,31,26,10 mm
July,26,28,25,18.5 mm
August,26,28,24,14.8 mm
September,26,29,24,8.8 mm
October,28,33,23,2.2 mm
November,27,33,22,0.4 mm
December,24,31,18,0.1 mm
