Month,Mean_tem,Max_tem,Min_tem,Rain
January,20,27,14,0.1 mm
February,23,30,16,0.1 mm
March,28,35,20,0.1 mm
April,32,39,25,0.1 mm
May,34,40,27,0.3 mm
June,30,35,26,5.6 mm
July,26,29,24,14.8 mm
August,26,28,24,12.4 mm
September,26,30,23,7 mm
October,26,32,21,1.3 mm
November,24,30,18,0.3 mm
December,21,27,14,0.1 mm
