Month,Mean_tem,Max_tem,Min_tem,Rain
January,15,21,9,0.7 mm
February,19,25,12,0.7 mm
March,23,30,16,0.7 mm
April,28,35,21,0.7 mm
May,30,36,23,1.9 mm
June,28,33,24,9 mm
July,25,28,23,12.9 mm
August,25,28,23,11.1 mm
September,25,28,22,7.9 mm
October,23,27,19,3 mm
November,19,25,14,0.5 mm
December,16,22,10,0.3 mm
