Month,Mean_tem,Max_tem,Min_tem,Rain
January,17,24,10,0.5 mm
February,21,28,13,0.7 mm
March,26,34,18,0.7 mm
April,30,38,22,0.7 mm
May,32,38,25,2.5 mm
June,30,35,26,8.6 mm
July,27,31,25,11.8 mm
August,27,30,25,10.7 mm
September,27,30,24,8.6 mm
October,25,30,20,2.8 mm
November,21,27,15,0.4 mm
December,18,24,11,0.4 mm
