Month,Mean_tem,Max_tem,Min_tem,Rain
January,20,27,13,0.7 mm
February,24,30,16,0.4 mm
March,28,35,20,0.6 mm
April,33,40,25,0.6 mm
May,34,41,28,1.2 mm
June,31,35,27,10.3 mm
July,27,30,25,17.7 mm
August,26,30,24,15.3 mm
September,27,30,24,10.2 mm
October,26,30,21,2.7 mm
November,23,29,17,0.6 mm
December,20,26,14,0.5 mm
