Month,Mean_tem,Max_tem,Min_tem,Rain
January,20,27,13,0.6 mm
February,24,30,16,0.4 mm
March,28,35,20,0.5 mm
April,32,39,25,0.6 mm
May,35,41,28,0.8 mm
June,31,36,27,8 mm
July,27,30,24,15.4 mm
August,26,29,24,14.1 mm
September,26,30,24,8.8 mm
October,26,30,21,2.4 mm
November,23,29,17,0.4 mm
December,20,26,14,0.3 mm
