Month,Mean_tem,Max_tem,Min_tem,Rain
January,21,27,14,0.7 mm
February,24,31,17,0.5 mm
March,29,36,21,0.6 mm
April,32,39,25,0.6 mm
May,34,40,28,1.2 mm
June,31,35,27,10 mm
July,27,30,25,17.2 mm
August,27,30,25,14.8 mm
September,27,30,24,9.7 mm
October,26,30,22,2.9 mm
November,24,29,18,0.6 mm
December,21,27,15,0.4 mm
