Month ,Mean_tem,Max_tem,Min_tem,Rain
January,21,28,14,0.6 mm
February,24,31,17,0.5 mm
March,28,35,21,0.7 mm
April,33,40,26,0.3 mm
May,36,42,30,0.5 mm
June,31,36,24,6.7 mm
July,27,30,27,14.0 mm
August,26,29,24,12.2 mm
September,27,30,24,6.6 mm
October ,26,31,21,1.8 mm
November,24,30,17,0.4 mm
December,21,28,15,0.2 mm
