Month,Mean_tem,Max_tem,Min_tem,Rain
January,20,27,14,0.0 mm
February,23,30,16,0.0 mm
March,26,33,19,0.0 mm
April,28,36,21,0.1 mm
May,28,35,22,0.6 mm
June,25,29,23,8.7 mm
July,23,26,22,13.0 mm
August,23,25,21,11.2 mm
September,23,27,21,7.4 mm
October,24,30,20,2.5 mm
November,23,29,17,0.7 mm
December,21,28,15,0.2 mm
