Month,Mean_tem,Max_tem,Min_tem,Rain
January,18,23,13,1.2 mm
February,19,25,13,1.2 mm
March,20,26,15,2.8 mm
April,20,25,17,6.5 mm
May,20,24,17,10.1 mm
June,18,22,17,17.1 mm
July,18,21,16,16.5 mm
August,18,21,16,12.6 mm
September,18,21,16,9.0 mm
October,18,22,16,13.3 mm
November,18,22,15,10.9 mm 
December,18,22,14,3.9 mm
