Month,Mean_tem,Max_tem,Min_tem,Rain
 January,5,11,-1,3.7 mm 
 February,6,12,0,5.3 mm 
 March,11,17,3,3.9 mm 
 April,17,24,9,1.7mm 
 May,21,27,12,1.3 mm 
 June,23,27,17,5.5 mm 
 July,22,25,19,12.9 mm 
 August,21,24,19,11.3 mm 
 September,20,23,15,3.8mm 
 October,16,22,9,0.6 mm 
 November,11,18,5,0.6 mm 
 December,6,13,0,1.4 mm 
