Month,Mean_tem,Max_tem,Min_tem,Rain
January,12,18,6,2.1 mm
February,14,21,8,2.6 mm
March,20,27,12,1.9 mm
April,26,34,18,1 mm
May,30,37,22,0.9 mm
June,31,36,25,3 mm
July,28,31,25,8.7 mm
August,27,30,24,8.3 mm
September,26,30,21,4.3 mm
October,23,29,16,0.6 mm
November,18,25,11,0.3 mm
December,13,20,7,0.7 mm
