Month,Mean_tem,Max_tem,Min_tem,Rain
January,25,31,18,0.2 mm
February,27,34,20,0.1 mm
March,30,37,24,0.4 mm
April,33,39,26,0.5 mm
May,33,39,28,1.5 mm
June,29,34,25,4.1 mm
July,28,32,24,4.8 mm
August,27,31,24,5.2 mm
September,27,31,24,5 mm
October,27,31,22,4.7 mm
November,26,31,20,1.3 mm
December,24,30,18,0.4 mm
