Month,Mean_tem,Max_tem,Min_tem,Rain
January,23,28,18,0.6 mm
February,25,31,18,0.4 mm
March,28,35,21,0.4 mm
April,31,38,25,0.5 mm
May,33,39,28,1.6 mm
June,31,36,27,3.1 mm
July,30,35,26,3.3 mm
August,30,34,26,3.7 mm
September,29,34,25,3.9 mm
October,27,32,24,7.3 mm
November,25,29,21,7.3 mm
December,23,28,19,3.5 mm
