Month,Mean_tem,Max_tem,Min_tem,Rain
January,12,18,6,1.9 mm
February,15,21,8,2.9 mm
March,20,27,13,2.4 mm
April,26,34,18,1.5 mm
May,31,39,23,1.2 mm
June,32,38,26,3.6 mm
July,30,34,26,9.6 mm
August,28,32,25,8.4 mm
September,27,32,23,4 mm
October,24,31,18,0.7 mm
November,19,26,12,0.6 mm
December,13,20,7,0.8 mm
