Month,Mean_tem,Max_tem,Min_tem,Rain
 January,9,13,5,7.6 mm 
 February,11,15,6,10.0 mm 
 March,13,19,8,8.3 mm 
 April,17,21,11,7.1 mm 
 May,19,22,15,9.4 mm 
 June,20,23,18,18.0 mm 
 July,20,23,18,35.4 mm 
 August,20,23,18,33.5 mm 
 September,20,23,18,11.5 mm 
 October,18,21,14,6.3 mm 
 November,14,17,11,6.9 mm 
 December,11,15,7,6.5 mm 
