Month,Mean_tem,Max_tem,Min_tem,Rain
 January,6,8,4,18.9 mm 
 February,11,15,6,9.3 mm 
 March,13,19,8,8.0 mm 
 April,17,21,11,6.7 mm 
 May,19,22,15,8.5 mm 
 June,20,23,18,25.0 mm 
 July,20,23,18,35.4 mm 
 August,20,23,18,27.5 mm 
 September,20,23,18,15.5 mm 
 October,18,21,14,6.5 mm 
 November,14,17,11,5.6 mm 
 December,11,15,7,6.5 mm 
