Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,22,10,0.4 mm
February,20,27,13,0.7 mm
March,25,33,18,0.4 mm
April,31,39,23,0.2 mm
May,35,41,28,0.3 mm
June,34,39,29,4.2 mm
July,29,32,26,12 mm
August,28,31,25,10.8 mm
September,28,32,24,6.2 mm
October,26,32,20,0.9 mm
November,22,29,16,0.2 mm
December,17,24,11,0.4 mm
