Month,Mean_tem,Max_tem,Min_tem,Rain
January,18,25,11,0.2 mm
February,21,28,14,0.2 mm
March,26,33,18,0.2 mm
April,31,38,23,0.1 mm
May,33,39,26,0.3 mm
June,30,35,26,4.9 mm
July,26,28,23,13.4 mm
August,25,27,23,11.5 mm
September,25,29,22,5.1 mm
October,26,32,20,0.7 mm
November,23,29,16,0.3 mm
December,19,26,13,0.2 mm
