Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,22,10,0.7 mm
February,20,26,14,0.8 mm
March,25,32,18,0.7 mm
April,29,36,23,1 mm
May,30,36,25,3.4 mm
June,29,34,26,7.9 mm
July,27,31,25,12 mm
August,27,30,25,9.7 mm
September,26,30,24,8.8 mm
October,25,29,21,3.5 mm
November,21,26,16,0.5 mm
December,17,23,12,0.3 mm
