Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,22,10,0.7 mm
February,20,27,13,0.7 mm
March,25,32,18,0.7 mm
April,30,37,22,0.9 mm
May,30,37,25,2.6 mm
June,29,34,26,8.3 mm
July,27,30,25,12.3 mm
August,27,30,24,10.2 mm
September,26,30,24,8.4 mm
October,24,29,20,3.1 mm
November,21,26,15,0.5 mm
December,17,23,11,0.3 mm
