Month,Mean_tem,Max_tem,Min_tem,Rain
January,22,27,17,1.2 mm
February,23,20,18,1.6 mm
March,25,31,19,3.0 mm
April,24,30,20,6.3 mm
May,23,28,20,9.3 mm
June,22,26,20,11.4 mm
July,22,25,19,10.8 mm
August,22,25,19,9.7 mm
September,22,26,19,9.1 mm
October,22,26,19,12.0 mm
November,22,26,19,8.7 mm
December,21,26,17,3.5 mm
