Month,Mean_tem,Max_tem,Min_tem,Rain
January,25,27,22,0.9 mm
February,26,28,23,0.5 mm
March,27,30,24,0.9 mm
April,29,32,27,1.3 mm
May,30,33,28,1.9 mm
June,30,33,28,1.9 mm
July,30,33,27,2.4 mm
August,29,32,27,3.7 mm
September,29,32,26,4.1 mm
October,27,30,25,9.0 mm
November,26,28,24,10.2 mm
December,25,27,23,5.2 mm
