Month,Mean_tem,Max_tem,Min_tem,Rain
 January,-20,-15,-26,1.5 mm 
 February,-17,-12,-22,1.5 mm 
 March,-15,-9,-21,1.2 mm 
 April,-10,-4,-17,1.2 mm 
 May,-4,1,-12,0.9 mm 
 June,3,9,-5,2.1 mm 
 July,9,15,2,1.6 mm 
 August,10,15,4,2.1 mm 
 September,5,10,-1,1.5 mm 
 October,-4,2,-11,0.7 mm 
 November,-13,-6,-21,0.4 mm 
 December,-19,-13,-25,0.8 mm 
